program,pmu_event,pmu_selector,pmc_count,repeats,all_pmc_values
orig_3d_tensor_vector,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,37716,3,37756;37716;37715
orig_4d_tensor,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,8850015,3,8849975;8850015;8850123
orig_attention_score,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,33905682,3,33905682;33905675;33905713
orig_batched_gemm,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,3176954,3,3176944;3176954;3177759
orig_context_lookup,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,35365421,3,35365421;35413870;35363134
orig_matrix_matrix,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,992470,3,992436;992470;992537
orig_matrix_vector,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,65993,3,65993;65956;66118
orig_rowwise_softmax_max,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,2109139,3,2109159;2108982;2109139
tiled_3d_tensor_vector,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,37882,3,37876;37882;37923
tiled_4d_tensor,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,1053266,3,1051582;1053266;1054528
tiled_attention_score,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,11895491,3,11894320;11895491;11898340
tiled_batched_gemm,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,836395,3,836228;836792;836395
tiled_context_lookup,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,12686443,3,12686443;12685508;12686720
tiled_matrix_matrix,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,139258,3,139258;139436;139158
tiled_matrix_vector,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,73986,3,73986;73986;73972
tiled_rowwise_softmax_max,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,2172520,3,2172571;2172512;2172520
orig_stencil5pt,L1D.REPLACEMENT,PERF_TYPE_HW_CACHE:L1D:READ:MISS,65722,3,65722;65693;65834
